ID,Hànzì,Español,Pinyin
1,你是我的朋友,"¡Eres mi amigo!, ¡Eres mi amiga!",nǐ shì wǒ de péngyou!
2,那个好喝吗？,¿Está esa (bebida) deliciosa?,nàge hǎohē ma?
3,今天她有两节课，对不对？,Ella tiene dos clases hoy ¿verdad?,"jīntiān tā yǒu liǎng jié kè, duì bùduì?"
4,他们是我们的朋友,Ellos son nuestros amigos,Tāmen shì wǒmen de péngyou!
5,您好！我是你的同学,Hola! Soy tu compañero de clase,nín hǎo! Wǒ shì nǐde tóngxué
6,我的朋友,Mi amigo,wǒde péngyou
7,我姐姐是老师,Mi hermana mayor es profesora,wǒ jiějie shì lǎoshī.
8,我们的同事,"Nuestros compañeros de trabajo, nuestros colegas",wǒmen de tóngshì
9,九个中国人,Nueve chinos,jiǔgè zhōngguó rén
10,我要吃披萨,Quiero comer pizza,wǒ yào chī pīsa.
11,我们是两个美国人,Somos dos estadounidenses,wǒmen shì liǎnggè měiguó rén.
12,我的爸爸是律师,Mi papá es abogado,wǒ de bàba shì lǜshī
13,这个人喝牛奶吗？,¿Bebe esta persona leche?,zhège rén hē niúnǎi ma?
14,你喝果汁吗？,¿Bebes zumo?,nǐ hē guǒzhī ma?
15,你哥哥叫什么名字？,¿Cómo se llama tu hermano mayor?,nǐ gēge jiào shénme míngzì?
16,几个人？,¿Cuántas personas (hay)?,jǐ gè rén?
17,你是中国人吗？,¿Eres china?,nǐ shì zhōngguó rén ma?
18,对吗？,¿Es correcto?,duì ma?
19,那是包子吗？,¿Es eso un baozi?,nà shì bāozi ma?
20,那是酒吗？,¿Es eso una bebida alcohólica?,nà shì jiǔ ma?
21,这是水吗？,¿Es esto agua?,zhè shì shuǐ ma?
22,这个好吃吗？,¿Está esta (comida) deliciosa?,zhège hǎochī ma?
23,你家有十口人吗？,¿Hay diez personas en tu familia?,nǐjiā yǒu shíkǒu rén ma?
24,你不喝咖啡吗？,¿No tomas café?,nǐ bù hē kāfēi ma?
25,你吃什么？,¿Qué comes?,nǐ chī shénme?
26,你的朋友是中国人吗？,¿Tu amigo es chino?,nǐ de péngyǒu shì zhōngguó rén ma?
27,你妹妹是学生吗？,¿Tu hermana menor es estudiante?,nǐ mèimei shì xuésheng ma?
28,andre 是法国人。,André es francés.,andre shì fǎguó rén.
29,我喝水。,Bebo agua.,wǒ hē shuǐ.
30,好朋友,Buen/a amigo/a.,hǎo péngyou
31,咖啡和果汁,Café y zumo.,kāfēi hé guǒzhī
32,五个中国学生,Cinco estudiantes chinos.,wǔgè zhōngguó xuésheng
33,中国菜,Comida china.,zhōngguó cài
34,我吃中国菜和韩国菜,Como comida china y coreana,wǒ chī zhōngguó cài hé hánguó cài
35,四个朋友,Cuatro amigos.,sìgè péngyou
36,两瓶水,Dos botellas de agua ,liǎng píng shuǐ
37,两碗牛奶,Dos tazones de leche.,liǎngwǎn niúnǎi
